trial comp/dSemi comp/dEcc 
a00_e00 200.000000 0.000000
a00_e01 200.000000 0.031034
a00_e02 200.000000 0.062069
a00_e03 200.000000 0.093103
a00_e04 200.000000 0.124138
a00_e05 200.000000 0.155172
a00_e06 200.000000 0.186207
a00_e07 200.000000 0.217241
a00_e08 200.000000 0.248276
a00_e09 200.000000 0.279310
a00_e10 200.000000 0.310345
a00_e11 200.000000 0.341379
a00_e12 200.000000 0.372414
a00_e13 200.000000 0.403448
a00_e14 200.000000 0.434483
a00_e15 200.000000 0.465517
a00_e16 200.000000 0.496552
a00_e17 200.000000 0.527586
a00_e18 200.000000 0.558621
a00_e19 200.000000 0.589655
a00_e20 200.000000 0.620690
a00_e21 200.000000 0.651724
a00_e22 200.000000 0.682759
a00_e23 200.000000 0.713793
a00_e24 200.000000 0.744828
a00_e25 200.000000 0.775862
a00_e26 200.000000 0.806897
a00_e27 200.000000 0.837931
a00_e28 200.000000 0.868966
a00_e29 200.000000 0.900000
a01_e00 227.129447 0.000000
a01_e01 227.129447 0.031034
a01_e02 227.129447 0.062069
a01_e03 227.129447 0.093103
a01_e04 227.129447 0.124138
a01_e05 227.129447 0.155172
a01_e06 227.129447 0.186207
a01_e07 227.129447 0.217241
a01_e08 227.129447 0.248276
a01_e09 227.129447 0.279310
a01_e10 227.129447 0.310345
a01_e11 227.129447 0.341379
a01_e12 227.129447 0.372414
a01_e13 227.129447 0.403448
a01_e14 227.129447 0.434483
a01_e15 227.129447 0.465517
a01_e16 227.129447 0.496552
a01_e17 227.129447 0.527586
a01_e18 227.129447 0.558621
a01_e19 227.129447 0.589655
a01_e20 227.129447 0.620690
a01_e21 227.129447 0.651724
a01_e22 227.129447 0.682759
a01_e23 227.129447 0.713793
a01_e24 227.129447 0.744828
a01_e25 227.129447 0.775862
a01_e26 227.129447 0.806897
a01_e27 227.129447 0.837931
a01_e28 227.129447 0.868966
a01_e29 227.129447 0.900000
a02_e00 257.938929 0.000000
a02_e01 257.938929 0.031034
a02_e02 257.938929 0.062069
a02_e03 257.938929 0.093103
a02_e04 257.938929 0.124138
a02_e05 257.938929 0.155172
a02_e06 257.938929 0.186207
a02_e07 257.938929 0.217241
a02_e08 257.938929 0.248276
a02_e09 257.938929 0.279310
a02_e10 257.938929 0.310345
a02_e11 257.938929 0.341379
a02_e12 257.938929 0.372414
a02_e13 257.938929 0.403448
a02_e14 257.938929 0.434483
a02_e15 257.938929 0.465517
a02_e16 257.938929 0.496552
a02_e17 257.938929 0.527586
a02_e18 257.938929 0.558621
a02_e19 257.938929 0.589655
a02_e20 257.938929 0.620690
a02_e21 257.938929 0.651724
a02_e22 257.938929 0.682759
a02_e23 257.938929 0.713793
a02_e24 257.938929 0.744828
a02_e25 257.938929 0.775862
